Marital_status,Application_mode,Application_order,Course,schedule_attendance,Previous_qualification,Previous_qualification_grade,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,122.0,Portuguese,Medium-Low Educated,Medium Educated,Service/Sales,Unskilled Labor,127.3,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,Mature and International Students,High Preference,Tourism,evening,High School Level,160.0,Portuguese,Medium Educated,High Educated,Professional/Managerial,Professional/Managerial,142.5,yes,no,no,no,male,no,19,no,0,6,6,6,14.0,0,0,6,6,6,13.67,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,Medium Preference,Communication Design,evening,High School Level,122.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,124.8,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,122.0,Portuguese,Low Educated,Low Educated,Service/Sales,Professional/Managerial,119.6,yes,no,no,yes,female,no,20,no,0,6,8,6,13.43,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Non Dropout
married,Mature and International Students,High Preference,Social Service,daytime,High School Level,100.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,141.5,no,no,no,yes,female,no,45,no,0,6,9,5,12.33,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Non Dropout
married,Mature and International Students,High Preference,Management,daytime,High School Level,133.1,Portuguese,Low Educated,Low Educated,Unskilled Labor,Machine/Vehicle Operators,114.8,no,no,yes,yes,male,no,50,no,0,5,10,5,11.86,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,142.0,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Military,128.4,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.34,0,15.5,2.8,-4.06,Non Dropout
single,General Admission Phases,Medium Preference,Tourism,evening,High School Level,119.0,Portuguese,Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,113.1,yes,no,no,no,male,no,22,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,Medium Preference,Social Service,evening,High School Level,137.0,European (Non-Portuguese),Medium Educated,Medium Educated,Unskilled Labor,Unskilled Labor,129.3,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.88,0,0,6,7,6,14.14,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,138.0,Portuguese,Medium Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,123.0,yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
single,General Admission Phases,High Preference,Advertising and Marketing Management,evening,High School Level,139.0,Portuguese,Low Educated,Medium-Low Educated,Service/Sales,Machine/Vehicle Operators,130.6,yes,no,no,yes,female,no,18,no,0,6,6,6,12.33,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,136.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,119.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.21,0,0,8,8,7,13.21,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,High Preference,Basic Education,evening,High School Level,133.0,Portuguese,Medium-Low Educated,Low Educated,Professional/Managerial,Unskilled Labor,130.2,yes,no,no,yes,female,no,19,no,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Prior Higher Education Holders,High Preference,Tourism,evening,Specialized Technical,110.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Machine/Vehicle Operators,111.8,yes,no,no,yes,female,yes,21,no,0,6,7,6,10.57,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,149.0,Portuguese,Low Educated,Low Educated,Service/Sales,Service/Sales,137.1,yes,no,no,yes,female,yes,18,no,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Journalism and Communication,evening,High School Level,127.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Professional/Managerial,120.7,yes,no,no,yes,female,no,20,no,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,137.0,Portuguese,Medium-Low Educated,Low Educated,Service/Sales,Machine/Vehicle Operators,137.4,yes,no,no,yes,female,no,18,no,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,135.0,Portuguese,Medium-Low Educated,Medium Educated,Service/Sales,Professional/Managerial,127.3,yes,no,no,yes,female,no,18,no,0,7,8,7,13.31,0,0,8,8,8,14.54,0,15.5,2.8,-4.06,Non Dropout
single,General Admission Phases,High Preference,Equinculture,evening,High School Level,137.0,Portuguese,High Educated,Medium-Low Educated,Professional/Managerial,Service/Sales,136.3,yes,no,no,yes,female,no,20,no,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Non Dropout
single,General Admission Phases,High Preference,Basic Education,evening,High School Level,140.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,124.6,yes,no,no,yes,female,no,18,no,0,7,7,6,11.67,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,Medium Preference,Animation and Multimedia Design,evening,High School Level,122.0,Portuguese,Medium Educated,Medium Educated,Unskilled Labor,Machine/Vehicle Operators,120.3,no,no,no,yes,female,yes,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,Medium Preference,Oral Hygiene,evening,High School Level,127.0,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,121.8,yes,no,no,yes,female,no,20,no,0,7,14,7,11.44,0,0,8,9,8,11.42,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,Medium Preference,Nursing,evening,High School Level,142.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Professional/Managerial,125.5,yes,no,no,yes,female,no,18,no,0,8,12,7,12.86,0,0,8,12,7,12.86,0,12.7,3.7,-1.7,Non Dropout
single,General Admission Phases,Medium Preference,Advertising and Marketing Management,evening,High School Level,125.0,Portuguese,Medium Educated,Low Educated,Professional/Managerial,Machine/Vehicle Operators,114.9,yes,no,no,yes,female,yes,19,no,0,6,8,6,13.38,0,0,6,7,6,12.29,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,126.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Machine/Vehicle Operators,123.9,no,no,no,yes,female,no,19,no,0,7,8,6,13.3,0,0,8,9,7,14.11,0,11.1,0.6,2.02,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,151.0,Portuguese,Medium-Low Educated,Low Educated,Unskilled Labor,Unskilled Labor,157.0,yes,no,yes,yes,female,yes,18,no,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Non Dropout
single,General Admission Phases,High Preference,Social Service,evening,High School Level,115.0,Portuguese,Medium-Low Educated,Low Educated,Machine/Vehicle Operators,Machine/Vehicle Operators,116.4,yes,no,no,yes,female,no,21,no,0,6,9,6,11.38,0,0,6,9,6,13.29,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Veterinary Nursing,evening,High School Level,138.0,Portuguese,Medium-Low Educated,Medium-Low Educated,Professional/Managerial,Professional/Managerial,131.0,yes,no,no,yes,female,no,18,no,0,5,9,5,12.67,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Non Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,135.0,Portuguese,Medium-Low Educated,Medium Educated,Unskilled Labor,Unskilled Labor,122.1,yes,no,no,yes,female,no,20,no,0,5,6,5,12.0,0,0,5,6,5,12.33,0,16.2,0.3,-0.92,Non Dropout
single,General Admission Phases,High Preference,Nursing,evening,High School Level,127.0,Portuguese,High Educated,High Educated,Professional/Managerial,Military,118.8,yes,no,no,yes,male,no,19,no,0,7,9,6,12.93,0,0,7,7,6,13.72,0,16.2,0.3,-0.92,Non Dropout
single,Prior Higher Education Holders,High Preference,Agronomy,evening,Specialized Technical,150.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,150.0,no,no,no,yes,male,no,21,no,0,6,15,5,11.86,0,0,6,17,5,10.57,0,16.2,0.3,-0.92,Non Dropout
single,Transfers and Course Changes,High Preference,Communication Design,evening,High School Level,125.0,Portuguese,High Educated,High Educated,Professional/Managerial,Professional/Managerial,130.0,yes,no,no,yes,male,no,20,no,2,6,7,6,12.83,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,High Preference,Management,evening,High School Level,143.0,Portuguese,Medium Educated,Medium Educated,Professional/Managerial,Agriculture,138.8,no,no,no,no,male,no,18,no,0,5,9,3,11.33,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Non Dropout
single,General Admission Phases,High Preference,Social Service,daytime,High School Level,138.0,Portuguese,Medium-Low Educated,Medium Educated,Unskilled Labor,Service/Sales,134.5,yes,no,no,yes,female,no,19,no,0,6,6,6,12.67,0,0,6,8,6,14.38,0,12.4,0.5,1.79,Non Dropout
